id,text,created,screenName,longitude,latitude,SentimentScore
53,"I'm at Washington State Convention Center in Seattle, WA https://t.co/q4q3kpjVEl",2/5/2017,sauconRunner,-122.3319076,47.61141958,0
99,Blocked in #Rochester on US-12 Both EB/WB near Pecan St #traffic https://t.co/12UyGMOG9h,2/5/2017,TotalTrafficSEA,-123.0368,46.80254,0
124,Eating oatmeal cookies on a rainy #seattle day. #seatacairport #cookies #waiting @… https://t.co/rxSD1H4Nbr,2/5/2017,Steve_Chambers1,-122.3019047,47.44382205,0
143,We love featuring Seattle's own #lighthouseroasters coffee in our gifts! #seattlecoffee… https://t.co/oiBNS7cfex,2/5/2017,bumbleBdesign,-122.30841,47.69413,1
174,"Warming. (@ Caffè Fiorè - @caffefiore in Seattle, WA) https://t.co/3hCt3tgPQb",2/5/2017,ztinthesouth,-122.382915,47.667081,0
198,"Seattle trends now: Trump, Super Bowl, Kenny Easley, Hall of Fame, Supreme Court. https://t.co/rs1pjlKOkI",2/5/2017,SeattleCP,-122.3324783,47.6054773,2
200,Amazing recovery! <U+FE0F><U+FE0F> Former President George H.W. Bush and wife Barbara joined the Coin Toss at SuperBowl 51:… https://t.co/IIKsbBreYK,2/5/2017,SeattleCP,-122.3324783,47.6054773,1
229,Creepy puppets at #pikeplacemarket #puppets #seattle #dummies @ Pike Place Market https://t.co/e1p91Paypk,2/5/2017,Steve_Chambers1,-122.3409662,47.60924005,-2
246,#nfl #superbowl #seattle #seahawks #realmendoyoga #russelwilson #realmenmeditate… https://t.co/gcYUMZGLt1,2/5/2017,TulafestSeattle,-122.331,47.6064,0
277,"I'm at 9lb Hammer in Seattle, WA https://t.co/aGE8jRU2zj",2/5/2017,belozi,-122.3167553,47.54895625,0
286,"If you're looking for work in #Seattle, WA, check out this #job: https://t.co/pNsQ2HqOip #IT #Hiring #CareerArc",2/5/2017,tmj_sea_it,-122.3320708,47.6062095,1
320,"I'm at Emerald City Athletics - @emeraldcityac in Seattle, WA https://t.co/hAwhcsGrgW",2/5/2017,dgajsek,-122.3422915,47.65481213,0
338,"We're #hiring! Click to apply: Senior Mechanical Engineer - https://t.co/wVXbbeJkS5 #Engineering #Seattle, Washington #Job #Jobs",2/5/2017,tmj_sea_eng,-122.3320708,47.6062095,0
413,"Accident cleared in #UDistrict on I-5 SB at 45th St, stop and go traffic back to 1st Ave, delay of 10 mins #traffic https://t.co/12UyGMOG9h",2/5/2017,TotalTrafficSEA,-122.3224,47.66133,0
443,Does this apply to you? SuperBowl https://t.co/IIKsbBreYK,2/5/2017,SeattleCP,-122.3324783,47.6054773,0
569,"Want to work in #Seattle, WA? View our latest opening: https://t.co/HDHqQoYYqP #IT #Job #Jobs #Hiring #CareerArc",2/5/2017,tmj_sea_it,-122.3320708,47.6062095,1
601,Little man and I boarded our flight to go see Grandma Lillie! @ Seattle-Tacoma International… https://t.co/cDy7vwWfGB,2/5/2017,aalbertson,-122.3019047,47.44382205,0
620,"#WhenIsHalfTime @ladygaga #guacamole #SuperBowl #SB51 #TomBradyIsAHottie @ Seattle, Washington https://t.co/msekSNufXa",2/5/2017,TinaMunro,-122.331,47.6064,0
672,"I'm at @ElephantCastle in Seattle, WA https://t.co/KOg9F6d4GM",2/5/2017,danpi,-122.3348751,47.61019235,0
774,Blocked in #Seattle on E Marginal Wy S Both NB/SB south of Hwy 99 #traffic https://t.co/12UyGMOG9h,2/5/2017,TotalTrafficSEA,-122.3337,47.54727,-1
843,After long stop-over finally heading to Seattle. Even on #SuperBowl the airport is very crowded… https://t.co/Z0IZBBw8pG,2/5/2017,Bindsi,-87.90288462,41.97683225,0
850,"If you're looking for work in #Seattle, WA, check out this #job: https://t.co/dUAMyKnfsa #IT #Hiring #CareerArc",2/5/2017,tmj_sea_it,-122.3320708,47.6062095,1
860,"I'm at Renaissance Seattle Hotel - @renhotels in Seattle, WA https://t.co/Tn1u8bI3R4",2/5/2017,pvandorp,-122.330811,47.60659706,1
884,"I'm at Ying Thai Kitchen in Seattle, WA https://t.co/m2HS6ShjpV",2/5/2017,mattholzmann,-122.3567547,47.6390411,0
932,"Interested in a #job in #Seattle, WA? This could be a great fit: https://t.co/ULqK3J0lMV #Engineering #Hiring #CareerArc",2/5/2017,tmj_sea_eng,-122.294074,47.5330908,1
934,- Amazingly Simple Amazingly Tasty Chicken Broth - @ Marmite Seattle https://t.co/4vWqSZrsnU,2/5/2017,Chef_Derek,-122.31773,47.61371,2
994,Rainy #fremontsundaymarket followed by ice cream <ed><U+00A0><U+00BC><ed><U+00BD><U+00A6> life in the #centeroftheuniverse <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> <ed><U+00A0><U+00BE><ed><U+00B4><U+0097> #seattle… https://t.co/n1sUC6EccT,2/5/2017,kaleykaraffa,-122.35,47.6505,0
1001,"Just posted a photo @ West Seattle, Seattle https://t.co/7Inr9Q7Zfc",2/5/2017,PriceHarmon,-122.3866667,47.56111111,0
1008,"The Guacamole is ready @ West Seattle, Seattle https://t.co/eykRqgcwwl",2/5/2017,PriceHarmon,-122.3866667,47.56111111,1
1027,"<ed><U+00A0><U+00BD><ed><U+00B3><U+009A><ed><U+00A0><U+00BD><ed><U+00B3><U+009A> white lace swap, key. <ed><U+00A0><U+00BC><ed><U+00BD><U+009A> @ Pioneer Square Seattle https://t.co/t3fg5BYa2T",2/5/2017,rileyog,-122.3339731,47.60151977,0
1039,"Want to work in #Seattle, WA? View our latest opening: https://t.co/nHqz6klrKp #Nursing #Job #Jobs #Hiring https://t.co/i8BtbIpQVh",2/5/2017,WorkWithSHC,-122.3456919,47.6288591,1
1079,"This #job might be a great fit for you: Software Engineer 2 - https://t.co/ro3CIMbZRK #IT #Seattle, WA #Hiring #CareerArc",2/5/2017,tmj_sea_it,-122.3320708,47.6062095,1
1120,No. 2o3 #sunset #olympicmountains #myeveningview #ballardseattle #bestneighborhood #seattle… https://t.co/JW6n22dlZc,2/5/2017,ira_wayne,-122.331,47.6064,0
1133,"I <U+2764><U+FE0F> this kitty. #catwatch2017 #rowena #catsofinstagram @ Seattle, Washington https://t.co/pOZkKMkeWn",2/5/2017,Matilda_esq,-122.331,47.6064,0
1152,"Drinking 10 Barrel Pray For Snow Winter Ale! #SuperBowl <ed><U+00A0><U+00BC><ed><U+00BD><U+00BA><ed><U+00A0><U+00BD><ed><U+00B8><U+008B> We're at The Fremont Dock (1102 N 34th St, Seattle, WA) https://t.co/2UYgUcC5q1",2/5/2017,KissStephanie,-122.34364,47.64883916,0
1263,Accident scene on left shoulder in #Centralia on I-5 SB at Harrison Ave #traffic https://t.co/12UyGMOG9h,2/5/2017,TotalTrafficSEA,-122.9769,46.72726,0
1276,"Latest HRRR accumulated snow at 5am (start of commute). Widespread 2-4\ amounts. https://t.co/IIKsbBreYK""",2/5/2017,SeattleCP,-122.3324783,47.6054773,0
1291,"French toast @ a Mexican restaurant. Whatever. (@ Señor Moose Cafe in Seattle, WA) https://t.co/t2xVRFkdaq",2/5/2017,ztinthesouth,-122.3819189,47.66660392,0
1298,Landing in SFO over Oakland from Seattle. #timelapse #clouds #sky #flying #bayarea… https://t.co/bUTRKcUosX,2/5/2017,ClarityArises,-122.2833333,37.75,0
1313,Business and good food! Yummy! #thechayahmovement #rtf8 @ Nordstrom Downtown Seattle https://t.co/r8rjnf5zpq,2/5/2017,ChayahMovement,-122.33651,47.61175,1
1350,"- Grey Wood - @ Seattle, Washington https://t.co/15gYItiZoz",2/5/2017,Chef_Derek,-122.331,47.6064,0
1360,"Today we do things my way. Also, I call this filter \Seattle\"" @ El Corazon https://t.co/v4kbqo6G3G""",2/5/2017,dennydiablo,-122.3292072,47.61875119,0
